Variable,Mean_A,Mean_B_derived_from_B_plus,Mean_C,Spearman_rho_NSmeels,p_value_NSmeels,significant_NSmeels_alpha_0_05,N_NSmeels,Spearman_rho_Defectiveness,p_value_Defectiveness,significant_Defectiveness_alpha_0_05,N_Defectiveness
LOC,75.07808384134869,152.3921568627451,55.566473443611855,0.4254647461221964,0,true,26574,0.28302376216846803,0,true,26574
LOCTouched,201.73018740121924,390.12567693744165,154.1851642395966,0.38552611678666776,0,true,26574,0.27297982388703723,0,true,26574
NR,5.262512229999247,8.456022408963586,4.4565719402422355,0.23298326427502786,0,true,26574,0.2322750540437226,0,true,26574
Nfix,0.5988560246857831,1.257889822595705,0.432536877326924,0.21103461169829588,0,true,26574,0.331337683729759,0,true,26574
Nauth,2.059306088658087,2.704761904761905,1.8964135915924407,0.22253079470415668,0,true,26574,0.23807912554929603,0,true,26574
LOCAdded,159.89425754496875,304.6289449112979,123.36783071775295,0.40258412488792095,0,true,26574,0.27858475669790983,0,true,26574
MaxLOCAdded,112.9170994204862,199.44276377217554,91.08077666242518,0.40437490830146644,0,true,26574,0.2754394927480774,0,true,26574
AverageLOCAdded,42.031402018815434,57.2031839243694,38.202527326122876,0.19463290334153754,0,true,26574,0.05554502086924665,0,true,26574
CLOC,24.64657183713404,29.88235294117647,23.325227390546207,0.22332094155766588,0,true,26574,0.18010576095849162,0,true,26574
WMC,14.070821103334087,30.7062558356676,9.872567038974504,0.4347042074787325,0,true,26574,0.27398719678267464,0,true,26574
MaxChurn,118.18796568074058,210.04948646125118,95.00504265045478,0.40446088453476065,0,true,26574,0.2677885635890282,0,true,26574
AverageChurn,46.67669137322232,64.49058382147537,42.181032102737824,0.2316673606074451,0,true,26574,0.08534254684967915,0,true,26574
ChangeSetSize,1618.6219613155715,1733.829878618114,1589.5471511381309,0.11005204255626615,0,true,26574,0.0992292556594808,0,true,26574
NPM,5.172875743207647,8.920448179271709,4.227107780762524,0.24719435860070518,0,true,26574,0.13079500257306698,0,true,26574
MaxChangeSet,1241.0099345224655,1206.333893557423,1249.7610631980772,0.06276910313443723,0,true,26574,0.05121990009365128,0,true,26574
AverageChangeSet,564.3813002816305,399.53328258972823,605.9836912868641,-0.05995937402767482,0,true,26574,-0.07417953057233401,0,true,26574
Age,61.42673993117288,56.307327748646124,62.718716567085785,0.0468902068684449,0,true,26574,0.07546941246812706,0,true,26574
WeightedAge,418.5811776193655,430.3126007256769,415.6205399486789,0.0658807630762361,0,true,26574,0.028411306469311663,0.0000036181,true,26574
AGE,61.42673993117288,56.307327748646124,62.718716567085785,0.0468902068684449,0,true,26574,0.07546941246812706,0,true,26574
NSmells,0.5326258749153308,0.0,0.0,,,false,0,0.20919527345438646,0,true,26574
NPMDRuleTypes,0.3943328065025965,1.9568627450980391,0.0,0.9994772577360557,0,true,26574,0.20959676073211594,0,true,26574
BugTicketCount,0.1416798374350869,0.33239962651727356,0.09354823507234082,0.21287100267254092,0,true,26574,0.9988643712143972,0,true,26574
